## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE SRR4757433_sort_histogram.pdf --INPUT sample_sort.bam --OUTPUT sample_sort_insert_metrics.txt --DEVIATIONS 10.0 --MINIMUM_PCT 0.05 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 12 12:58:17 IST 2021

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
163	19	47	2	2895623	162.684098	89.614397	673322	FR	17	33	51	71	95	131	191	279	289	305	511			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	3
3	6
4	5
5	2
7	4
8	4
9	1
10	5
11	4
12	4
13	2
14	4
15	11
16	4
17	7
18	11
19	53497
20	21220
21	9291
22	5166
23	3175
24	1948
25	1797
26	1168
27	1147
28	841
29	991
30	745
31	661
32	614
33	512
34	782
35	542
36	443
37	513
38	380
39	554
40	598
41	577
42	445
43	457
44	354
45	470
46	542
47	550
48	556
49	440
50	608
51	478
52	507
53	454
54	384
55	457
56	482
57	402
58	282
59	370
60	469
61	299
62	418
63	334
64	429
65	414
66	437
67	574
68	453
69	523
70	486
71	423
72	326
73	717
74	399
75	399
76	475
77	478
78	561
79	492
80	496
81	471
82	452
83	553
84	465
85	619
86	500
87	541
88	632
89	557
90	583
91	525
92	721
93	638
94	679
95	757
96	860
97	717
98	858
99	827
100	829
101	972
102	974
103	1032
104	1139
105	1097
106	1119
107	1318
108	1378
109	1574
110	1530
111	1656
112	1724
113	1753
114	1927
115	2046
116	2065
117	2279
118	2298
119	2482
120	2381
121	2724
122	2861
123	2722
124	2822
125	3010
126	2995
127	3253
128	3175
129	3290
130	3431
131	3414
132	3606
133	3670
134	3818
135	3713
136	3983
137	3973
138	4042
139	4155
140	4050
141	4110
142	4199
143	4227
144	4217
145	4195
146	4191
147	4315
148	4314
149	4322
150	4346
151	4297
152	4361
153	4321
154	4449
155	4352
156	4362
157	4287
158	4233
159	4263
160	4295
161	4224
162	4175
163	4197
164	4224
165	4341
166	4168
167	4048
168	4032
169	4036
170	3927
171	3852
172	3882
173	3939
174	3752
175	3851
176	3877
177	3911
178	3791
179	3631
180	3718
181	3686
182	3523
183	3637
184	3381
185	3428
186	3445
187	3501
188	3446
189	3356
190	3316
191	3224
192	3271
193	3156
194	3252
195	3148
196	3160
197	3150
198	3063
199	3008
200	2839
201	3013
202	2976
203	2853
204	2785
205	2853
206	2733
207	2670
208	2656
209	2567
210	2571
211	2571
212	2480
213	2632
214	2523
215	2486
216	2358
217	2441
218	2403
219	2399
220	2256
221	2290
222	2256
223	2174
224	2246
225	2109
226	2136
227	2113
228	2120
229	2093
230	2044
231	1963
232	1960
233	1937
234	1925
235	1903
236	1876
237	1809
238	1891
239	1711
240	1815
241	1685
242	1728
243	1653
244	1612
245	1636
246	1618
247	1653
248	1511
249	1448
250	1459
251	1501
252	1523
253	1409
254	1445
255	1408
256	1349
257	1365
258	1297
259	1323
260	1243
261	1268
262	1223
263	1245
264	1242
265	1161
266	1161
267	1220
268	1166
269	1082
270	1097
271	1108
272	1064
273	1075
274	1056
275	993
276	1005
277	1006
278	947
279	965
280	941
281	991
282	903
283	884
284	888
285	837
286	842
287	846
288	894
289	775
290	828
291	757
292	789
293	757
294	727
295	766
296	713
297	720
298	678
299	712
300	696
301	669
302	668
303	621
304	596
305	644
306	583
307	568
308	579
309	598
310	620
311	576
312	583
313	574
314	527
315	533
316	486
317	499
318	523
319	495
320	460
321	510
322	453
323	515
324	501
325	426
326	479
327	469
328	421
329	462
330	415
331	418
332	410
333	351
334	359
335	395
336	384
337	384
338	353
339	371
340	355
341	397
342	336
343	291
344	360
345	318
346	307
347	324
348	311
349	297
350	282
351	270
352	272
353	295
354	288
355	249
356	252
357	286
358	300
359	279
360	296
361	269
362	257
363	230
364	222
365	232
366	223
367	272
368	236
369	199
370	235
371	219
372	209
373	217
374	185
375	188
376	187
377	182
378	210
379	206
380	187
381	209
382	203
383	187
384	171
385	184
386	175
387	183
388	168
389	167
390	151
391	144
392	146
393	172
394	160
395	149
396	140
397	158
398	140
399	160
400	138
401	136
402	147
403	118
404	112
405	130
406	124
407	115
408	121
409	125
410	113
411	127
412	121
413	113
414	98
415	124
416	89
417	102
418	121
419	101
420	121
421	108
422	106
423	104
424	90
425	99
426	73
427	88
428	81
429	99
430	95
431	85
432	92
433	80
434	86
435	64
436	75
437	90
438	68
439	76
440	71
441	80
442	81
443	71
444	75
445	55
446	70
447	66
448	75
449	69
450	69
451	62
452	55
453	55
454	58
455	65
456	56
457	63
458	54
459	71
460	53
461	48
462	44
463	38
464	31
465	41
466	35
467	29
468	39
469	42
470	38
471	42
472	38
473	33
474	40
475	38
476	29
477	33
478	27
479	34
480	34
481	35
482	28
483	25
484	32
485	38
486	30
487	37
488	22
489	29
490	29
491	24
492	18
493	42
494	16
495	23
496	16
497	24
498	19
499	24
500	22
501	23
502	23
503	20
504	19
505	24
506	31
507	19
508	20
509	17
510	21
511	14
512	17
513	20
514	15
515	17
516	21
517	17
518	14
519	22
520	10
521	14
522	9
523	18
524	11
525	18
526	9
527	11
528	13
